Item,Price (GBP),Price (USD),Link 1
Solder,1.59,2.18,https://www.aliexpress.com/item/1005008582739945.html?spm=a2g0o.cart.0.0.57e238dah0co8Q&mp=1&pdp_npi=5%40dis%21GBP%21GBP%201.56%21GBP%201.51%21%21GBP%201.51%21%21%21%40211b6c1917517505945503287e3f4d%2112000045828254978%21ct%21UK%216063356903%21%211%210
,,,
Solder Cleaner,1.45,1.99,https://www.aliexpress.com/item/1005008139056408.html?spm=a2g0o.cart.0.0.57e238dah0co8Q&mp=1&pdp_npi=5%40dis%21GBP%21GBP%201.45%21GBP%201.45%21%21GBP%201.31%21%21%21%40211b6c1917517505945503287e3f4d%2112000043955012936%21ct%21UK%216063356903%21%211%210
Solder Holder,1.74,2.38,https://www.aliexpress.com/item/1005008060490020.html?spm=a2g0o.cart.0.0.57e238dah0co8Q&mp=1&pdp_npi=5%40dis%21GBP%21GBP%203.62%21GBP%201.74%21%21GBP%201.57%21%21%21%40211b6c1917517505945503287e3f4d%2112000043495814700%21ct%21UK%216063356903%21%211%210
OLED Screen,4,5.48,https://www.aliexpress.com/item/1005008315281577.html?spm=a2g0o.cart.0.0.57e238daS8hq2S&mp=1&pdp_npi=5%40dis%21GBP%21GBP%206.35%21GBP%204.31%21%21GBP%204.31%21%21%21%40211b80e117517562457068912e2b41%2112000044585026991%21ct%21UK%216063356903%21%211%210
Keycaps,1.59,2.18,https://www.aliexpress.com/item/1005005513800132.html?spm=a2g0o.cart.0.0.57e238daS8hq2S&mp=1&pdp_npi=5%40dis%21GBP%21GBP%201.59%21GBP%201.59%21%21GBP%201.59%21%21%21%40211b80e117517562457068912e2b41%2112000033370341351%21ct%21UK%216063356903%21%211%210
Switches,1.1,1.51,https://www.aliexpress.com/item/1005005371211477.html?spm=a2g0o.cart.0.0.57e238daS8hq2S&mp=1&pdp_npi=5%40dis%21GBP%21GBP%201.10%21GBP%201.10%21%21GBP%201.10%21%21%21%40211b80e117517562457068912e2b41%2112000032783075056%21ct%21UK%216063356903%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
Pico,1.71,2.34,https://www.aliexpress.com/item/1005003371056277.html?spm=a2g0o.cart.0.0.57e238daS8hq2S&mp=1&pdp_npi=5%40dis%21GBP%21GBP%201.71%21GBP%201.71%21%21GBP%201.71%21%21%21%40211b80e117517562457068912e2b41%2112000029224170853%21ct%21UK%216063356903%21%211%210
EC11 Cap,1.04,1.42,https://www.aliexpress.com/item/10000056483250.html?spm=a2g0o.cart.0.0.57e238daS8hq2S&mp=1&pdp_npi=5%40dis%21GBP%21GBP%201.04%21GBP%201.04%21%21GBP%201.04%21%21%21%40211b80e117517562457068912e2b41%2112000046133170771%21ct%21UK%216063356903%21%211%210
EC11,1.96,2.68,https://www.aliexpress.com/item/10000056483250.html?spm=a2g0o.cart.0.0.57e238daS8hq2S&mp=1&pdp_npi=5%40dis%21GBP%21GBP%201.96%21GBP%201.96%21%21GBP%201.96%21%21%21%40211b80e117517563008441721e2b41%2112000046133170768%21ct%21UK%216063356903%21%211%210
Keycap Puller,1.72,2.36,https://www.aliexpress.com/item/1005008979101146.html?spm=a2g0o.cart.0.0.57e238daS8hq2S&mp=1&pdp_npi=5%40dis%21GBP%21GBP%201.72%21GBP%201.72%21%21GBP%201.72%21%21%21%40211b80e117517563008441721e2b41%2112000047438847478%21ct%21UK%216063356903%21%211%210
USB Micro Charger,0.88,1.21,https://www.aliexpress.com/item/1005007138392516.html?spm=a2g0o.cart.0.0.57e238daS8hq2S&mp=1&pdp_npi=5%40dis%21GBP%21GBP%200.91%21GBP%200.91%21%21GBP%200.91%21%21%21%40211b80e117517563008441721e2b41%2112000039538590190%21ct%21UK%216063356903%21%211%210
Grips,1.08,1.48,https://www.aliexpress.com/item/1005007345412012.html?spm=a2g0o.cart.0.0.57e238daS8hq2S&mp=1&pdp_npi=5%40dis%21GBP%21GBP%202.34%21GBP%201.17%21%21GBP%201.17%21%21%21%40211b80e117517563008441721e2b41%2112000040354490148%21ct%21UK%216063356903%21%211%210
,,,
,,,
Subtotal Items,20.43,27.72,
,,,
PCB,12.09,16.57,
Subtotal PCB,12.09,16.57,
,,,
3D Printing Shipping,3.45,4.74,
Subtotal Shipping,3.45,4.74,
,,,
Grand Total,35.97,49.01,
,,,
,,,
,,,
,,PRICES HAVE CHANGED AS QUANTITIES HAVE BEEN REDUCED AND ALSO SINCE THE COUPON CODE NO LONGER WORKS.,
